BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
RCoT-gpt41,36,True,12,0,3521,2.9913318355878196,0.0
RCoT-gpt41,41,True,13,0,3812,2.5008192979372463,0.0
RCoT-gpt41,41,True,13,0,3799,2.764114104784452,0.0
RCoT-gpt41,58,True,6,0,1967,3.2911585569381714,0.0
RCoT-gpt41,41,True,13,0,3917,3.285723062661978,0.0
RCoT-gpt41,36,True,12,0,3609,3.542338947455088,0.0
RCoT-gpt41,46,True,13,0,3905,3.0222635085766134,0.0
RCoT-gpt41,31,True,11,0,3188,2.5991320610046387,0.0
RCoT-gpt41,36,True,17,0,5116,3.026095334221335,0.0
RCoT-gpt41,41,True,13,0,3842,2.4980060137235203,0.0
RCoT-gpt41,41,True,13,0,3956,3.0527487718141995,0.0
RCoT-gpt41,58,True,6,0,1889,3.329022844632467,0.0
RCoT-gpt41,36,True,16,0,4813,2.532767355442047,0.0
RCoT-gpt41,36,True,13,0,3934,3.8719747983492336,0.0
RCoT-gpt41,24,True,19,0,5733,2.946746412076448,0.0
RCoT-gpt41,41,True,13,0,3801,2.4657795979426456,0.0
RCoT-gpt41,36,True,16,0,4864,2.9339021742343903,0.0
RCoT-gpt41,36,True,12,0,3535,3.0681100289026895,0.0
RCoT-gpt41,36,True,16,0,4840,2.965434357523918,0.0
RCoT-gpt41,31,True,11,0,3208,2.412989529696378,0.0
RCoT-gpt41,36,True,13,0,3996,2.7480983367333045,0.0
RCoT-gpt41,36,True,12,0,3487,2.8536072770754495,0.0
RCoT-gpt41,41,True,13,0,3886,2.2736778992872972,0.0
RCoT-gpt41,36,True,16,0,4843,2.933076336979866,0.0
RCoT-gpt41,53,True,10,0,3108,2.9288033962249758,0.0
RCoT-or-auto,36,True,13,7,7918,23.099023837309616,53.84615384615385
RCoT-or-auto,41,True,18,10,10736,21.58024658097161,55.55555555555556
RCoT-or-auto,34,True,23,16,13774,23.256212742432304,69.56521739130434
RCoT-or-auto,22,True,29,18,17371,23.083077175863856,62.06896551724138
RCoT-or-auto,19,True,21,14,11634,21.61108437038603,66.66666666666666
RCoT-or-auto,24,True,23,15,13705,21.74332957682402,65.21739130434783
RCoT-or-auto,22,True,29,20,17658,23.240281121484166,68.96551724137932
RCoT-or-auto,19,True,20,15,12361,24.565603888034822,75.0
RCoT-or-auto,29,True,22,16,13375,22.96356696432287,72.72727272727273
RCoT-or-auto,19,True,19,11,10776,19.42222245115983,57.89473684210527
RCoT-or-auto,29,True,23,17,13873,19.374523142109748,73.91304347826086
RCoT-or-auto,17,True,29,21,17510,19.07105986825351,72.41379310344827
RCoT-or-auto,29,True,24,17,14575,18.980829219023388,70.83333333333334
RCoT-or-auto,7,True,28,24,16887,20.764806619712285,85.71428571428571
RCoT-or-auto,29,True,21,15,13080,19.05744180225191,71.42857142857143
RCoT-or-auto,29,True,22,15,13436,21.896836378357627,68.18181818181817
RCoT-or-auto,24,True,23,14,14007,21.486351915027786,60.86956521739131
RCoT-or-auto,41,True,14,8,8136,20.327222176960536,57.14285714285714
RCoT-or-auto,39,True,22,17,12654,21.808566949584268,77.27272727272727
RCoT-or-auto,31,True,11,7,6451,20.561302466826007,63.63636363636363
RCoT-or-auto,29,True,22,14,13390,23.15215639634566,63.63636363636363
RCoT-or-auto,24,True,22,14,13089,21.142371318557046,63.63636363636363
RCoT-or-auto,2,True,26,17,15826,23.177327981361977,65.38461538461539
RCoT-or-auto,34,True,23,16,14005,22.722669331923775,69.56521739130434
RCoT-or-auto,19,True,21,15,13102,25.23798939159938,71.42857142857143
RCoT-claude,31,True,11,0,4089,5.494602636857466,0.0
RCoT-claude,58,True,6,0,2265,5.466396967569987,0.0
RCoT-claude,36,True,13,0,4961,5.376688095239492,0.0
RCoT-claude,31,True,10,0,3836,5.701195812225341,0.0
RCoT-claude,36,True,12,0,4447,5.264628867308299,0.0
