BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
RCoT-gpt41,46,True,13,0,3776,2.2803779198573184,0.0
RCoT-gpt41,41,True,13,0,3897,2.324976077446571,0.0
RCoT-gpt41,53,True,9,0,2728,2.951359828313192,0.0
RCoT-gpt41,58,True,10,0,3015,2.5164108276367188,0.0
RCoT-gpt41,36,True,13,0,3890,2.9920032024383545,0.0
RCoT-gpt41,36,True,13,0,3809,2.6233145273648777,0.0
RCoT-gpt41,41,True,13,0,3818,2.5879214910360484,0.0
RCoT-gpt41,41,True,13,0,3776,2.6545055646162767,0.0
RCoT-gpt41,46,True,13,0,3888,2.372353902229896,0.0
RCoT-gpt41,46,True,13,0,3846,2.698185847355769,0.0
RCoT-gpt41,41,True,13,0,3781,2.487702626448411,0.0
RCoT-gpt41,58,True,10,0,2909,2.014367198944092,0.0
RCoT-gpt41,41,True,13,0,3807,2.8080021968254676,0.0
RCoT-gpt41,36,True,13,0,3898,2.535730618696946,0.0
RCoT-gpt41,51,True,14,0,4190,2.764163408960615,0.0
RCoT-gpt41,46,True,13,0,3832,2.4900415493891788,0.0
RCoT-gpt41,46,True,13,0,3788,2.593570727568406,0.0
RCoT-gpt41,41,True,13,0,3864,3.2198542081392727,0.0
RCoT-gpt41,41,True,13,0,3670,2.607903003692627,0.0
RCoT-gpt41,53,True,9,0,2661,2.328973505232069,0.0
RCoT-gpt41,36,True,13,0,3959,2.635935123150165,0.0
RCoT-gpt41,46,True,13,0,3739,2.1821158665877123,0.0
RCoT-gpt41,53,True,9,0,2655,2.3638348049587674,0.0
RCoT-gpt41,53,True,11,0,3343,2.291187979958274,0.0
RCoT-gpt41,36,True,13,0,3897,2.430658505513118,0.0
None-gpt41,36,True,14,0,7169,0.5450559003012521,0.0
None-gpt41,24,True,22,0,9640,0.4859456474130804,0.0
None-gpt41,58,True,7,0,4938,0.5144993918282645,0.0
None-gpt41,41,True,13,0,6202,0.5952302859379694,0.0
None-gpt41,58,True,7,0,4938,0.4771961825234549,0.0
None-gpt41,36,True,14,0,7130,0.5423109190804618,0.0
None-gpt41,36,True,12,0,6523,0.5638944506645203,0.0
None-gpt41,58,True,7,0,4938,0.5121827806745257,0.0
None-gpt41,53,True,10,0,5876,0.5217058420181274,0.0
None-gpt41,41,True,19,0,8695,0.5463910353811163,0.0
None-gpt41,53,True,11,0,6185,0.5251187411221591,0.0
None-gpt41,53,True,11,0,6185,0.5756873867728494,0.0
None-gpt41,41,True,13,0,6802,0.6139480700859656,0.0
None-gpt41,41,True,14,0,7130,0.44650721549987793,0.0
None-gpt41,58,True,7,0,4938,0.6326631137302944,0.0
None-gpt41,41,True,19,0,8695,0.5474838708576403,0.0
None-gpt41,29,True,21,0,8682,0.552152815319243,0.0
None-gpt41,46,True,14,0,7130,0.4886695998055594,0.0
None-gpt41,53,True,11,0,6185,0.5239102623679421,0.0
None-gpt41,24,True,21,0,9312,0.6661606970287505,0.0
None-gpt41,41,True,19,0,8695,0.6008836219185277,0.0
None-gpt41,36,True,13,0,6802,0.561028792307927,0.0
None-gpt41,53,True,11,0,6185,0.4685529362071644,0.0
None-gpt41,24,True,20,0,9033,0.5184493899345398,0.0
None-gpt41,19,True,20,0,9064,0.6693180680274964,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,4,True,0,0,0,0.0,0.0
MCTSAgent,46,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,24,True,0,0,0,0.0,0.0
MCTSAgent,53,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
MCTSAgent,53,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,48,True,0,0,0,0.0,0.0
MCTSAgent,19,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
MCTSAgent,4,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Backtrack-Depth3,48,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Backtrack-Depth3,48,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,26,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,41,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Backtrack-Depth3,46,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Backtrack-Depth3,58,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,4,True,0,0,0,0.0,0.0
RandomBot,36,True,0,0,0,0.0,0.0
RandomBot,36,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,14,True,0,0,0,0.0,0.0
RandomBot,19,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,36,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,41,True,0,0,0,0.0,0.0
RandomBot,24,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,2,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,14,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,2,True,0,0,0,0.0,0.0
