BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
None-gpt41,31,True,14,0,6561,0.8179748569216047,0.0
None-gpt41,31,True,11,0,6226,0.7827072577043013,0.0
None-gpt41,31,True,11,0,6226,0.7365030592138117,0.0
None-gpt41,36,True,12,0,6560,0.6540088454882304,0.0
None-gpt41,31,True,11,0,5612,0.5923805887048895,0.0
None-gpt41,41,True,13,0,6193,0.5708747093494122,0.0
None-gpt41,41,True,12,0,5906,0.5739550391832987,0.0
None-gpt41,26,True,10,0,5264,0.5347503423690796,0.0
None-gpt41,41,True,13,0,6868,0.5393213308774508,0.0
None-gpt41,31,True,11,0,5612,0.7474972985007546,0.0
None-gpt41,36,True,11,0,5612,0.6599994139237837,0.0
None-gpt41,31,True,11,0,5612,0.5767764394933527,0.0
None-gpt41,36,True,12,0,5899,0.6154709259668986,0.0
None-gpt41,53,True,10,0,5912,0.5362683773040772,0.0
None-gpt41,36,True,12,0,6560,0.7500433524449667,0.0
None-gpt41,36,True,12,0,5859,0.5603141387303671,0.0
None-gpt41,36,True,12,0,5906,0.5629428625106812,0.0
None-gpt41,31,True,11,0,5572,0.717244495045055,0.0
None-gpt41,26,True,10,0,5278,0.6566879510879516,0.0
None-gpt41,41,True,13,0,6868,0.5612088350149301,0.0
None-gpt41,26,True,11,0,5565,0.6062766855413263,0.0
None-gpt41,36,True,12,0,5906,0.614980141321818,0.0
None-gpt41,36,True,12,0,6534,0.674277683099111,0.0
None-gpt41,36,True,15,0,6855,0.5304892698923747,0.0
None-gpt41,41,True,12,0,5906,0.6292204260826111,0.0
CoT-gpt41,34,True,20,0,7925,2.3279887437820435,0.0
CoT-gpt41,10,True,34,0,13409,2.2154764077242683,0.0
CoT-gpt41,27,True,28,0,11194,2.2340284245354787,0.0
CoT-gpt41,22,True,27,0,10692,2.094881640540229,0.0
CoT-gpt41,0,False,41,0,16045,2.21665046854717,0.0
CoT-gpt41,22,True,26,0,10264,2.1880349195920505,0.0
CoT-gpt41,10,True,37,0,14726,2.2673898258724727,0.0
CoT-gpt41,3,True,42,0,16505,2.3066246055421376,0.0
CoT-gpt41,22,True,28,0,11210,2.331758601324899,0.0
CoT-gpt41,20,True,36,0,14276,2.1508389115333557,0.0
CoT-gpt41,22,True,26,0,10334,2.1792742289029636,0.0
CoT-gpt41,34,True,20,0,7894,2.0731591463088987,0.0
CoT-gpt41,5,True,34,0,13560,2.2798821575501385,0.0
CoT-gpt41,22,True,27,0,10737,2.235190188443219,0.0
CoT-gpt41,8,True,45,0,17840,2.4401498847537573,0.0
CoT-gpt41,0,False,41,0,16187,2.4749424341248303,0.0
CoT-gpt41,17,True,29,0,11611,2.457127357351369,0.0
CoT-gpt41,22,True,28,0,11021,2.3185513615608215,0.0
CoT-gpt41,12,True,26,0,10248,2.5319715371498694,0.0
CoT-gpt41,10,True,37,0,14875,2.373574211790755,0.0
CoT-gpt41,17,True,27,0,10699,2.510880223026982,0.0
CoT-gpt41,12,True,27,0,10864,2.4357200110400163,0.0
CoT-gpt41,0,False,43,0,16966,2.2461351294850194,0.0
CoT-gpt41,29,True,20,0,8010,2.365269088745117,0.0
CoT-gpt41,29,True,24,0,9561,2.38981964190801,0.0
RCoT-gpt41,41,True,13,0,3851,2.535277091539823,0.0
RCoT-gpt41,36,True,12,0,3601,2.525900880495707,0.0
RCoT-gpt41,58,True,6,0,1863,3.23942768573761,0.0
RCoT-gpt41,36,True,12,0,3613,2.704025169213613,0.0
RCoT-gpt41,36,True,16,0,4678,2.6134245693683624,0.0
RCoT-gpt41,36,True,16,0,4692,2.3214640021324158,0.0
RCoT-gpt41,36,True,12,0,3691,2.7118415236473083,0.0
RCoT-gpt41,41,True,13,0,3907,2.3852318617013784,0.0
RCoT-gpt41,41,True,13,0,3913,2.7363397158109226,0.0
RCoT-gpt41,36,True,16,0,4776,2.3748665153980255,0.0
RCoT-gpt41,31,True,11,0,3256,2.228854916312478,0.0
RCoT-gpt41,36,True,16,0,4795,2.324418842792511,0.0
RCoT-gpt41,41,True,13,0,3927,2.613073330659133,0.0
RCoT-gpt41,36,True,12,0,3526,2.5032763282457986,0.0
RCoT-gpt41,46,True,13,0,4022,2.887315163245568,0.0
RCoT-gpt41,36,True,11,0,3336,2.418751283125444,0.0
RCoT-gpt41,36,True,16,0,4784,2.6083820909261703,0.0
RCoT-gpt41,36,True,16,0,4628,2.3099866956472397,0.0
RCoT-gpt41,41,True,13,0,3893,2.564306039076585,0.0
RCoT-gpt41,31,True,11,0,3313,2.6343055204911665,0.0
RCoT-gpt41,36,True,16,0,4718,2.745124951004982,0.0
RCoT-gpt41,41,True,13,0,3804,3.141445856827956,0.0
RCoT-gpt41,41,True,12,0,3602,2.7397708098093667,0.0
RCoT-gpt41,46,True,13,0,3996,2.9782310999356785,0.0
RCoT-gpt41,41,True,12,0,3640,3.0037774443626404,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,41,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,12,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,9,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,24,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,36,True,0,0,0,0.0,0.0
RandomBot,9,True,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
RandomBot,0,False,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,9,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,0,False,0,0,0,0.0,0.0
MCTSAgent,0,False,0,0,0,0.0,0.0
MCTSAgent,0,False,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,29,True,0,0,0,0.0,0.0
MCTSAgent,4,True,0,0,0,0.0,0.0
MCTSAgent,36,True,0,0,0,0.0,0.0
MCTSAgent,9,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,14,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,19,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,9,True,0,0,0,0.0,0.0
MCTSAgent,31,True,0,0,0,0.0,0.0
MCTSAgent,26,True,0,0,0,0.0,0.0
MCTSAgent,41,True,0,0,0,0.0,0.0
