BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
RCoT-gpt41,49,True,58,0,16477,2.9902277157224457,0.0
RCoT-gpt41,49,True,58,0,16453,2.9517028496183197,0.0
RCoT-gpt41,47,True,57,0,16204,2.7507468315592982,0.0
RCoT-gpt41,57,True,58,0,16065,2.5805457830429077,0.0
RCoT-gpt41,49,True,59,0,16662,2.4907549074140647,0.0
RCoT-gpt41,49,True,59,0,16459,2.555453037811538,0.0
RCoT-gpt41,52,True,59,0,16417,2.4039022801286083,0.0
RCoT-gpt41,49,True,59,0,16708,2.5701540163007834,0.0
RCoT-gpt41,52,True,59,0,16645,2.983924837435706,0.0
RCoT-gpt41,52,True,59,0,16380,2.9100588337849764,0.0
RCoT-gpt41,54,True,59,0,16609,2.8921552835884743,0.0
RCoT-gpt41,49,True,58,0,16260,3.1059394910417755,0.0
RCoT-gpt41,49,True,58,0,16459,2.596137860725666,0.0
RCoT-gpt41,49,True,59,0,16468,2.4255063008453885,0.0
RCoT-gpt41,47,True,57,0,16004,2.770848537746229,0.0
RCoT-gpt41,52,True,59,0,16340,2.6430796687885865,0.0
RCoT-gpt41,52,True,59,0,16341,2.842836311308004,0.0
RCoT-gpt41,50,True,56,0,16248,3.018836809056146,0.0
RCoT-gpt41,49,True,59,0,16632,2.76036190582534,0.0
RCoT-gpt41,52,True,59,0,16274,2.4307347233012573,0.0
RCoT-gpt41,49,True,58,0,16212,2.610169731337449,0.0
RCoT-gpt41,49,True,58,0,16268,2.5780781548598717,0.0
RCoT-gpt41,57,True,59,0,16671,2.8821991944717147,0.0
RCoT-gpt41,52,True,59,0,16252,2.663084393840725,0.0
RCoT-gpt41,49,True,58,0,16211,2.7664002837805914,0.0
None-gpt41,54,True,59,0,18255,0.5026612362619174,0.0
None-gpt41,54,True,59,0,18255,0.5111242916624424,0.0
None-gpt41,57,True,59,0,18255,0.5372880757865259,0.0
None-gpt41,54,True,59,0,18255,0.560023457317029,0.0
None-gpt41,49,True,66,0,20280,0.507640925320712,0.0
None-gpt41,54,True,67,0,20547,0.6030677005426207,0.0
None-gpt41,57,True,59,0,18255,0.5597487869909255,0.0
None-gpt41,57,True,59,0,18255,0.5684547262676691,0.0
None-gpt41,54,True,59,0,18255,0.5134333836830268,0.0
None-gpt41,54,True,59,0,18255,0.5125777721405029,0.0
None-gpt41,54,True,67,0,20547,0.5082017628114615,0.0
None-gpt41,57,True,59,0,18255,0.48552817409321414,0.0
None-gpt41,57,True,59,0,18255,0.4911406201831365,0.0
None-gpt41,57,True,59,0,18255,0.47813138315233134,0.0
None-gpt41,54,True,67,0,20547,0.4843160999355032,0.0
None-gpt41,54,True,59,0,18255,0.4823955762184272,0.0
None-gpt41,49,True,67,0,20547,0.5783228625112505,0.0
None-gpt41,54,True,59,0,18255,0.5409303883374748,0.0
None-gpt41,57,True,59,0,18255,0.5152225292335122,0.0
None-gpt41,57,True,59,0,18255,0.459365165839761,0.0
None-gpt41,57,True,59,0,18255,0.5241571725425074,0.0
None-gpt41,57,True,59,0,18255,0.5109265052666099,0.0
None-gpt41,54,True,67,0,20547,0.5028977892292079,0.0
None-gpt41,57,True,59,0,18255,0.48549283561059986,0.0
None-gpt41,57,True,59,0,18255,0.48417551234617073,0.0
